voltage,rate_of_change,is_attack
4.2,0.0,0
4.199948051095482,0.0,0
4.199894184110562,0.0,0
4.199860553682106,0.0,0
4.1997861318196925,0.0,0
4.199728267410443,0.0,0
4.199656943195237,0.0,0
4.199639804998543,0.0,0
4.199576725234951,0.0,0
4.19952386030435,0.0,0
4.199462373921753,-5.376260782474773e-05,0
4.199394469677415,-5.535814180666065e-05,0
4.199324831952609,-5.693521579530625e-05,0
4.1993153793439,-5.4517433820588936e-05,0
4.199238723373528,-5.474084461649653e-05,0
4.19919293498365,-5.353324267929338e-05,0
4.199127612966441,-5.293302287956436e-05,0
4.199059394927466,-5.804100710768978e-05,0
4.199001088852009,-5.756363829414468e-05,0
4.198952654835333,-5.7120546901678894e-05,0
4.198875671824625,-5.867020971273007e-05,0
4.198782308180203,-6.121614972123268e-05,0
4.19873286223948,-5.9196971312935885e-05,0
4.198702069398861,-6.133099450389423e-05,0
4.198654909429734,-5.838139437939205e-05,0
4.198615709775369,-5.772252082802965e-05,0
4.198569815050752,-5.577979156887736e-05,0
4.198518339589834,-5.41055337632379e-05,0
4.198464209845734,-5.368790062751927e-05,0
4.19838213919672,-5.705156386133225e-05,0
4.198329914673868,-5.457571507578862e-05,0
4.1982760244149215,-5.06283765281168e-05,0
4.198227223323992,-5.05638915487161e-05,0
4.19819627002844,-5.057993704209452e-05,0
4.198147320105948,-5.075893237860285e-05,0
4.198088275287457,-5.274344879122594e-05,0
4.198033953994697,-5.358610560550759e-05,0
4.19797546840018,-5.428711896540151e-05,0
4.197872847779069,-5.91362066664658e-05,0
4.197833274189224,-5.488650074951807e-05,0
4.197747727992466,-5.8218668140153085e-05,0
4.1976496310421725,-6.263933727490567e-05,0
4.1975972572579785,-6.299660660138428e-05,0
4.197529419696112,-6.668503323279396e-05,0
4.197485294622622,-6.620254833258343e-05,0
4.19745138084935,-6.368944381067721e-05,0
4.197398203825937,-6.357501687599409e-05,0
4.197351820346896,-6.23648053283965e-05,0
4.197291248525341,-5.81599253728804e-05,0
4.1972657764721975,-5.674977170269102e-05,0
4.197205037317533,-5.426906749326221e-05,0
4.197170817759345,-4.788132828270619e-05,0
4.197108542913684,-4.887143442946496e-05,0
4.197036780475306,-4.926392208055574e-05,0
4.196957854469405,-5.2744015321692925e-05,0
4.196898867483146,-5.525133662045434e-05,0
4.1968413836062,-5.568202197370198e-05,0
4.196758274854059,-5.935454928369665e-05,0
4.196678050959193,-6.131975661478606e-05,0
4.19662988010636,-6.358963658374961e-05,0
4.196574507652761,-6.305296647726166e-05,0
4.196490880593107,-6.799371662387088e-05,0
4.196444540785618,-6.640021280661657e-05,0
4.196402622488397,-6.341579869095781e-05,0
4.196348635246457,-6.092192229480986e-05,0
4.196287954727112,-6.109127560343098e-05,0
4.196201357013036,-6.400265931638671e-05,0
4.1961659708102745,-5.923040437840754e-05,0
4.19609043965181,-5.876113073828293e-05,0
4.196076337066962,-5.535430393983631e-05,0
4.196016367884026,-5.581397687350887e-05,0
4.195938382845318,-5.524977477886495e-05,0
4.19588970615689,-5.548346287280737e-05,0
4.195854190680238,-5.484318081592221e-05,0
4.195829350390752,-5.192848557049601e-05,0
4.195784430941724,-5.035237853876495e-05,0
4.195728764990973,-4.725920220636226e-05,0
4.195656496420687,-5.094743895872611e-05,0
4.195598724923595,-4.917147282146317e-05,0
4.195527532355997,-5.488047109647454e-05,0
4.1954433519347765,-5.730159492491893e-05,0
4.1953745636312885,-5.638192140295928e-05,0
4.195315494313284,-5.742118436051769e-05,0
4.195249977082987,-6.042135972501583e-05,0
4.195212673752815,-6.166766379367417e-05,0
4.195155281616154,-6.291493255696778e-05,0
4.195093409524792,-6.353554661808758e-05,0
4.195062811500657,-5.936849200303129e-05,0
4.194977024823167,-6.217001004280576e-05,0
4.194918648074888,-6.088842811085016e-05,0
4.19486147611052,-5.818758242561728e-05,0
4.194774251464749,-6.003121665392186e-05,0
4.194711701565381,-6.037927479036753e-05,0
4.194673217316151,-5.767597668366875e-05,0
4.194608056733911,-6.046170189044631e-05,0
4.194539175850907,-6.161057652471768e-05,0
4.194502189242866,-5.912202819260415e-05,0
4.194438671487105,-6.241400135520436e-05,0
4.194403257827517,-5.7376699565026e-05,0
4.194329918259586,-5.8872981530200265e-05,0
4.194257605246495,-6.038708640252466e-05,0
4.194197804242003,-5.764472227465234e-05,0
4.194120276032184,-5.914255331971319e-05,0
4.19404044494725,-6.327723689008025e-05,0
4.194014483018113,-5.935737157978238e-05,0
4.193963072021267,-5.761038296396848e-05,0
4.193898099828314,-6.040894145513676e-05,0
4.193838719066142,-5.999524209627793e-05,0
4.193762053542737,-6.412042847800948e-05,0
4.193698219657764,-6.31698601821995e-05,0
4.193643115615154,-6.14489631341364e-05,0
4.193580338388574,-6.174658534288113e-05,0
4.193519368061655,-6.009079705284748e-05,0
4.193467057944494,-5.733870027562205e-05,0
4.193384925679067,-6.295573390460162e-05,0
4.193331583040328,-6.314889809395652e-05,0
4.193261934048035,-6.36165780279363e-05,0
4.193196219753929,-6.424993122129407e-05,0
4.193161032632942,-6.010209097953023e-05,0
4.193093385545958,-6.048341118063405e-05,0
4.193030542409487,-6.125732056672106e-05,0
4.192998573286783,-5.817651017911984e-05,0
4.192936494553989,-5.828735076658376e-05,0
4.192903910503512,-5.631474409817372e-05,0
4.192852874561396,-5.320511176707399e-05,0
4.192791176179707,-5.404068606207346e-05,0
4.192724007757003,-5.379262910318872e-05,0
4.192640940536888,-5.552792170409049e-05,0
4.192571272924298,-5.897597086432782e-05,0
4.192505585965868,-5.877995800895874e-05,0
4.192456511203567,-5.740312059199226e-05,0
4.192427385028843,-5.711882579397809e-05,0
4.192357950842322,-5.7854371166765616e-05,0
